Año;Trimestre;Provincia;ADSL;Cablemodem;Fibra Optica;Wireless;Otras Tecnologías;Hasta 512 kbps;+ 512 Kbps - 1 Mbps;+ 1 Mbps - 6 Mbps;+ 6 Mbps - 10 Mbps;+ 10 Mbps - 20 Mbps;+ 20 Mbps - 30 Mbps;+ 30 Mbps;Otras velocidades;Banda Ancha Fija;Dial Up;Accesos cada 100 Hogares;Accesos cada 100 Habitantes;Mbps (Media de bajada)
2024;3;Buenos Aires;222003;2689425;1895514;144449;73496;26909,0;23962,0;228393,0;239339,0;246144,0;110876,0;4042646,0;93351,0;5018987;5900;;;160,0
2024;3;Capital Federal;52604;1116716;254994;4493;30648;516,0;4544,0;26409,0;48083,0;33925,0;5829,0;1355061,0;0,0;1457405;2050;;;236,92
2024;3;Catamarca;4646;10053;59975;1384;890;71,0;209,0;3065,0;3734,0;4423,0;1827,0;61181,0;77,0;76947;1;;;103,2
2024;3;Chaco;8366;57194;85610;8548;2649;236,0;477,0;14811,0;10361,0;6247,0;5729,0;105485,0;4040,0;162362;5;;;109,01
2024;3;Chubut;25955;80405;26555;31118;11776;111,0;1088,0;44276,0;31402,0;22843,0;20196,0;33665,0;16589,0;174952;857;;;26,2
2024;3;Córdoba;87976;441237;493741;69704;14668;99,0;8404,0;117068,0;91169,0;51126,0;26948,0;767427,0;17061,0;1107263;63;;;121,01
2024;3;Corrientes;13399;86406;40387;10295;7923;67,0;2889,0;19949,0;17984,0;8108,0;5087,0;98904,0;6484,0;158407;3;;;108,95
2024;3;Entre Ríos;30403;157828;70851;25375;13110;107,0;4408,0;37150,0;54377,0;16673,0;7236,0;164304,0;14382,0;297547;20;;;104,27
2024;3;Formosa;7873;18881;19797;16671;695;85,0;179,0;21856,0;11563,0;4545,0;272,0;23152,0;350,0;63917;0;;;86,86
2024;3;Jujuy;8942;36316;48755;4205;32067;58,0;1343,0;15359,0;11724,0;28741,0;272,0;58543,0;1980,0;130285;0;;;55,18
2024;3;La Pampa;6778;57539;41598;19950;1645;71,0;1330,0;46716,0;17278,0;14556,0;5511,0;34254,0;1610,0;127348;162;;;34,36
2024;3;La Rioja;1931;55574;23734;6396;168;18,0;435,0;1483,0;1786,0;24838,0;4709,0;54452,0;0,0;87799;4;;;65,85
2024;3;Mendoza;17671;65553;193499;28285;2535;104,0;2945,0;35976,0;20902,0;30051,0;7781,0;196093,0;5499,0;306813;730;;;60,98
2024;3;Misiones;19436;75605;91041;15074;7962;51,0;3248,0;32287,0;21522,0;11338,0;3850,0;119112,0;8925,0;209118;0;;;99,63
2024;3;Neuquén;23699;72260;41790;24549;6378;136,0;998,0;35431,0;13485,0;10435,0;2933,0;81033,0;20176,0;168237;439;;;97,11
2024;3;Río Negro;21949;49744;69750;18359;18023;112,0;1039,0;27223,0;16608,0;18343,0;24693,0;64813,0;15586,0;177310;515;;;77,68
2024;3;Salta;18298;98818;66271;11807;8595;114,0;1154,0;28069,0;65938,0;3735,0;66,0;98971,0;6685,0;203784;5;;;93,17
2024;3;San Juan;12669;16628;47513;23594;7371;24,0;2021,0;21157,0;12882,0;12489,0;1343,0;30645,0;22649,0;107528;247;;;36,91
2024;3;San Luis;4038;51864;37121;76309;1139;60,0;628,0;11317,0;23754,0;8952,0;75907,0;33150,0;917,0;170306;165;;;178,73
