Year;Access to electricity (% of population);Computer, communications and other services (% of commercial service imports);Fixed broadband subscriptions;GDP (current US$);GDP per capita (current US$);GNI (current US$);Individuals using the Internet (% of population);Mobile cellular subscriptions;Population, female;Population, male;Secure Internet servers;Urban population (% of total population);Internet Users
1960;;;;;;;;0,0;10175528,0;10210517,0;;73,611;
1961;;;;;;;;;10357370,0;10368906,0;;74,217;
1962;;;;24450604877,6081;1160,30659798113;25083407626,9357;;;10539647,0;10532891,0;;74,767;
1963;;;;18272123664,4715;852,972425139433;18744951947,7684;;;10723652,0;10698053,0;;75,309;
1964;;;;25605249381,7597;1176,20086190313;26267861213,2167;;;10907254,0;10862199,0;;75,844;
1965;;;;28344705966,6389;1281,83337976859;29078234021,4454;;0,0;11088672,0;11023957,0;;76,369;
1966;;;;28630474727,9023;1275,07843418966;29796191127,5341;;;11268775,0;11185118,0;;76,888;
1967;;;;24256667553,2569;1063,93283833587;24344243038,8777;;;11450939,0;11348120,0;;77,398;
1968;;;;26436857247,4982;1141,95211617341;26044571826,7842;;;11637225,0;11513358,0;;77,901;
1969;;;;31256284543,6155;1329,56181832409;31036571602,8723;;;11827790,0;11680921,0;;78,394;
1970;;;;31584210365,5447;1322,71454216808;30396317996,8419;;0,0;12023844,0;11854483,0;;78,88;
1971;;;;33293199095,4881;1372,50746646061;33634600190,9299;;;12226197,0;12031011,0;;79,321;
1972;;;;34733000536,2862;1409,37097316211;34199500220,4044;;;12434789,0;12209539,0;;79,743;
1973;;;;52544000116,9037;2097,89945010806;52722220653,6761;;;12650533,0;12395472,0;;80,158;
1974;;;;72436777342,4554;2844,96990526761;72679890116,6394;;;12872761,0;12588590,0;;80,567;
1975;;;;52438647921,9226;2026,68435752865;53148109438,0634;;0,0;13091933,0;12782174,0;;80,969;
1976;;21,9387755102041;;51169499892,1722;1946,91990388248;51185002822,6107;;0,0;13307092,0;12975191,0;;81,366;
1977;;19,4029850746269;;56781000101,0848;2126,48546048047;56339203222,3998;;0,0;13527193,0;13174612,0;;81,755;
1978;;20,2328966521106;;89049453088,3282;3282,06304446289;88487714886,6314;;0,0;13751359,0;13380799,0;;82,139;
1979;;14,1897233201581;;69252328951,6441;2511,97332905958;68626165139,2133;;0,0;13977319,0;13591576,0;;82,516;
1980;;15,8516483516484;;76961923741,0701;2747,5022751674;76286574003,3819;;0,0;14205756,0;13805840,0;;82,887;
1981;;18,4520123839009;;78676842366,5529;2764,08641421079;76842107526,2031;;0,0;14439210,0;14024749,0;;83,313;
1982;;30,6046013911183;;84307486836,724;2914,76708504176;79243829293,0471;;0,0;14676897,0;14247365,0;;83,759;
1983;;38,5982230997039;;103979106777,911;3537,7473459832;98072174234,6778;;0,0;14916804,0;14474528,0;;84,194;
1984;;30,4730983302412;;116915052107,031;3915,03492645691;110861462345,883;;0,0;15157857,0;14705236,0;;84,621;
1985;;31,7302925136341;;88150891728,1064;2905,77565536137;83420985728,03;;0,0;15399848,0;14936593,0;;85,038;
1986;;28,6899563318777;;105872372613,857;3436,07819471053;101088864106,72;;0,0;15642967,0;15169013,0;;85,445;
1987;;21,9966159052453;;108810885301,253;3477,30131979313;103754219523,247;;0,0;15887734,0;15404028,0;;85,843;
1988;;22,7291242362525;;126890235049,092;3992,70330179156;121369592383,219;;0,0;16136524,0;15644008,0;;86,233;
1989;;26,2036306235201;;76629728760,123;2374,57321551641;70212893608,0928;;2300,0;16385772,0;15885176,0;;86,613;
1990;92,1548004150391;26,7037552155772;;141352630146,731;4315,33329358672;135150277010,919;0,0;12000,0;16630962,0;16124939,0;;86,984;0,0
1991;92,4921875;18,1215176439374;;189719984268,485;5709,24784079504;183857364656,529;0,0;25000,0;16869703,0;16360591,0;;87,328;0,0
1992;92,8294525146484;15,967938466225;;228778917308,17;6789,99611136495;224521060685,899;0,002992874;46590,0;17103144,0;16590383,0;;87,542;1008,40480926598
1993;93,1660461425781;13,9207755416182;;236741715015,015;6931,85596375876;233743662862,863;0,029527065;112000,0;17334855,0;16817862,0;;87,752;10084,294947856051
1994;93,5012741088867;15,3410831230583;;257440000000,0;7437,56242327594;253743263100,0;0,043705951;241163,0;17565566,0;17047925,0;;87,96;15128,15541584941
1995;93,8344650268555;15,4571050968224;;258031750000,0;7357,6162773788;253362890700,0;0,086277081;405395,0;17793348,0;17276672,0;;88,164;30257,3895621162
1996;94,1649398803711;15,6107800966699;;272149750000,0;7663,21271287469;266647700700,0;0,141954704;667020,0;18015824,0;17497969,0;;88,366;50413,499732322714
1997;94,4920120239258;15,9441722145886;;292859000000,0;8146,78710021431;286641204400,0;0,280339882;2009073,0;18233978,0;17713813,0;;88,564;100775,99487100661
1998;94,8150024414063;16,9017096393552;;298948250000,0;8218,99212764682;291542201400,0;0,83076668;2670862,0;18448100,0;17924760,0;;88,759;302173,601443048
1999;95,1331558227539;17,3925011840884;;283523000000,0;7705,54288252851;276059280100,0;3,284481956;3848869,0;18660016,0;18134666,0;;88,952;1208514,69105758
2000;95,7;18,8686569912226;;284203750000,0;7637,01489203628;276655968900,0;7,03868;6490000,0;18870186,0;18343798,0;;89,142;2619373,2490112
2001;95,5;21,5796750999581;94000,0;268696750000,0;7141,47507662826;260969968100,0;9,78081;6740000,0;19076995,0;18547830,0;;89,329;3680012,6460825005
2002;96,1;27,7267758629524;148000,0;97724004251,8602;2569,69963519124;92763789032,7018;10,8821;6570000,0;19281383,0;18747966,0;;89,51;4138391,787529
2003;96,3;26,7410032074426;259000,0;127586973492,177;3320,47775133903;122451951871,839;11,9137;7840000,0;19480492,0;18943790,0;;89,686;4577753,684634
2004;96,5;28,2973827737301;543000,0;164657930452,787;4242,02099089422;146361588317,154;16,0367;13500000,0;19676039,0;19139877,0;;89,86;6224792,001172001
